"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","1","Arroz","Libra",38,13.16,500.08
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","2","Frijol","Libra",34,15.41,523.94
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","3","Azúcar","Libra",30,11.99,359.7
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","4","Aceite","Litro",7,34.74,243.18
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","5","Posta de res","Libra",8,85.4,683.2
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","6","Posta de cerdo","Libra",5,67.82,339.1
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","7","Carne de aves","Libra",8,44.81,358.48
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","8","Chuleta de pescado","Libra",9,78.97,710.73
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","9","Leche","Litro",30,28.15,844.5
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","10","Huevos","Docena",7,55.1,385.7
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","11","Queso seco","Libra",9,72.18,649.62
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","12","Tortilla","Libra",57,16.86,961.02
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","13","Pinolillo","Libra",10,27.9,279
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","14","Pastas alimenticias","Libra",5,27.98,139.9
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","15","Pan","Libra",27,20.86,563.22
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","16","Tomate de cocinar","Libra",14,17.14,239.96
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","17","Cebolla blanca","Libra",8,23.6,188.8
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","18","Papas","Libra",15,16.66,249.9
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","19","Ayote","Libra",32,6.61,211.52
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","20","Chiltoma","Libra",3,32.47,97.41
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","21","Plátano verde","Libra",16,7.94,127.04
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","22","Naranja","Libra",46,5.62,258.52
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","23","Repollo","Libra",2,10.68,21.36
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","24","Jabón de lavar ropa","Unidad",12.55,12.6,158.13
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,3.7,103.49
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","26","Pasta dental","Unidad de 115 grs ",2.13,30.75,65.5
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","27","Fósforos","Cajita de 40 cerillos",10.87,1.28,13.91
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","28","Escoba","Unidad",1.22,47.7,58.19
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","29","Papel higiénico","Rollos",10.71,11.64,124.66
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","30","Jabón de baño","Unidad",4.67,8.98,41.94
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,17.46,38.59
"CB2019Ene",2019,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBEne2019.xls","32","Desodorante nacional","Unidad",1.9,28.24,53.66
