"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","1","Arroz","Libra",38,9.68,367.84
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","2","Frijol","Libra",34,11.22,381.48
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","3","Azúcar","Libra",30,7.83,234.9
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","4","Aceite","Litro",7,36.07,252.49
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","5","Posta de res","Libra",8,48.38,387.04
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","6","Posta de cerdo","Libra",5,52.08,260.4
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","7","Carne de aves","Libra",8,27.37,218.96
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","8","Chuleta de pescado","Libra",9,50.06,450.54
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","9","Leche","Litro",30,19.97,599.1
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","10","Huevos","Docena",7,39.18,274.26
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","11","Queso seco","Libra",9,46.68,420.12
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","12","Tortilla","Libra",57,11.7,666.9
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","13","Pinolillo","Libra",10,20.34,203.4
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","14","Pastas alimenticias","Libra",5,20.92,104.6
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","15","Pan","Libra",27,17.95,484.65
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","16","Tomate de cocinar","Libra",14,11.68,163.52
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","17","Cebolla blanca","Libra",8,17.48,139.84
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","18","Papas","Libra",15,13.38,200.7
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","19","Ayote","Libra",32,6.62,211.84
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","20","Chiltoma","Libra",3,27.47,82.41
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","21","Plátano verde","Libra",16,5.39,86.24
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","22","Naranja","Libra",46,3.29,151.34
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","23","Repollo","Libra",2,9.14,18.28
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","24","Jabón de lavar ropa","Unidad",12.55,11.92,149.6
"CB2012Ene",2012,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CEne2012.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,2.08,58.18
