"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","1","Arroz","Libra",38,12.29,467.02,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","2","Frijol","Libra",34,19.45,661.3,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","3","Azúcar","Libra",30,9.69,290.7,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","4","Aceite","Litro",7,32.35,226.45,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","5","Posta de res","Libra",8,88.78,710.24,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","6","Posta de cerdo","Libra",5,71.26,356.3,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","7","Carne de aves","Libra",8,35.65,285.2,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","8","Chuleta de pescado","Libra",9,71.88,646.92,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","9","Leche","Litro",30,25.28,758.4,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","10","Huevos","Docena",7,47.76,334.32,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","11","Queso seco","Libra",9,40.55,364.95,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","12","Tortilla","Libra",57,14.4,820.8,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","13","Pinolillo","Libra",10,23.62,236.2,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","14","Pastas alimenticias","Libra",5,22.84,114.2,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","15","Pan","Libra",27,20.48,552.96,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","16","Tomate de cocinar","Libra",14,8.52,119.28,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","17","Cebolla blanca","Libra",8,32.82,262.56,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","18","Papas","Libra",15,14.53,217.95,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","19","Ayote","Libra",32,8.94,286.08,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","20","Chiltoma","Libra",3,32.16,96.48,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","21","Plátano verde","Libra",16,9.82,157.12,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","22","Naranja","Libra",46,6.47,297.62,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","23","Repollo","Libra",2,4.91,9.82,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","24","Jabón de lavar ropa","Unidad",12.55,13.23,166.0365,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","25","Detergente en polvo","Bolsita de 40 gramos",27.97,2.45,68.5265,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","26","Pasta dental","Unidad de 115 grs",2.13,29.58,63.0054,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","27","Fósforos","Cajita de 40 cerrillos",10.87,0.92,10.0004,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","28","Escoba","Unidad",1.22,38.89,47.4458,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","29","Papel higiénico","Rollos",10.71,11.15,119.4165,96
"CB2015Ago",2015,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBAgo2015.xls","30","Jabón de baño","Unidad",4.67,6.06,28.3002,96
