"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","1","Arroz","Libra",38,12.27,466.26
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","2","Frijol","Libra",34,15.47,525.98
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","3","Azúcar","Libra",30,10.06,301.8
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","4","Aceite","Litro",7,30.99,216.93
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","5","Posta de res","Libra",8,84.52,676.16
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","6","Posta de cerdo","Libra",5,70.7,353.5
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","7","Carne de aves","Libra",8,36.66,293.28
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","8","Chuleta de pescado","Libra",9,76.62,689.58
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","9","Leche","Litro",30,25.9,777
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","10","Huevos","Docena",7,43.59,305.13
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","11","Queso seco","Libra",9,61.37,552.33
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","12","Tortilla","Libra",57,15.21,866.97
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","13","Pinolillo","Libra",10,25.87,258.7
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","14","Pastas alimenticias","Libra",5,23.56,117.8
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","15","Pan","Libra",27,19.85,535.95
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","16","Tomate de cocinar","Libra",14,8.35,116.9
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","17","Cebolla blanca","Libra",8,37.15,297.2
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","18","Papas","Libra",15,16.52,247.8
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","19","Ayote","Libra",32,6.92,221.44
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","20","Chiltoma","Libra",3,31.17,93.51
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","21","Plátano verde","Libra",16,10.3,164.8
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","22","Naranja","Libra",46,8.69,399.74
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","23","Repollo","Libra",2,5.55,11.1
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","24","Jabón de lavar ropa","Unidad",12.55,12.59,158
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,2.51,70.2
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","26","Pasta dental","Unidad de 115 grs ",2.13,29.12,62.03
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","27","Fósforos","Cajita de 40 cerillos",10.87,0.97,10.54
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","28","Escoba","Unidad",1.22,39.95,48.74
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","29","Papel higiénico","Rollos",10.71,11.37,121.77
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","30","Jabón de baño","Unidad",4.67,6.14,28.67
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,15.86,35.05
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","32","Desodorante nacional","Unidad",1.9,23.74,45.11
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","33","Cepillo dental","Unidad",2.49,10.78,26.84
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","34","Alquiler","Valor (C$) mensual",1,900,900
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","35","Gas butano"," 25 libras",1,207.02,207.02
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","36","Luz eléctrica","KWH",100,2.52,252.27
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","37","Agua","Galones",5292,0.02,126.36
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","38","Transporte","Pasaje",240,2.5,600
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,380.79,236.58
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","40","Camisa manga corta","Unidad",0.66,106.14,70.05
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","41","Calzoncillos","Unidad",1.57,36.1,56.5
"CB2016Abr",2016,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBAbr2016.xls","42","Calcetines","Par",1.32,24.41,32.22
